reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gazeDir.x,gazeDir.y,gazeDir.z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ
0.001,2024/06/13 11:30:10.5209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.969,-0.186,0.162,0.99,10.0,1.0,9.75,1.0,3.53,0.99
1.284,2024/06/13 11:30:11.8039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.949,-0.192,0.25,1.0,10.0,1.0,10.0,1.0,3.19,1.0
1.294,2024/06/13 11:30:11.8139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.947,-0.198,0.252,1.0,10.0,1.0,10.0,1.0,3.21,1.0
1.314,2024/06/13 11:30:11.8339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.197,0.251,1.0,10.0,1.0,10.0,1.0,3.2,1.0
1.324,2024/06/13 11:30:11.8439,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.197,0.252,1.0,10.0,1.0,10.0,1.0,3.19,1.0
1.344,2024/06/13 11:30:11.8639,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.196,0.25,1.0,10.0,1.0,10.0,1.0,3.2,1.0
1.354,2024/06/13 11:30:11.8739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.194,0.251,1.0,10.0,1.0,10.0,1.0,3.22,1.0
1.374,2024/06/13 11:30:11.8939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.949,-0.195,0.249,1.0,10.0,1.0,10.0,1.0,3.22,1.0
1.394,2024/06/13 11:30:11.9139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.194,0.252,1.0,10.0,1.0,10.0,1.0,3.25,1.0
1.404,2024/06/13 11:30:11.9239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.194,0.252,1.0,10.0,1.0,10.0,1.0,3.24,1.0
1.424,2024/06/13 11:30:11.9439,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.947,-0.196,0.254,1.0,10.0,1.0,10.0,1.0,3.23,1.0
1.434,2024/06/13 11:30:11.9539,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.947,-0.195,0.255,1.0,10.0,1.0,10.0,1.0,3.2,1.0
1.454,2024/06/13 11:30:11.9739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.947,-0.194,0.255,1.0,10.0,1.0,10.0,1.0,3.22,1.0
1.464,2024/06/13 11:30:11.9839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.946,-0.197,0.257,1.0,10.0,1.0,10.0,1.0,3.22,1.0
1.484,2024/06/13 11:30:12.0039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.947,-0.197,0.255,1.0,10.0,1.0,10.0,1.0,3.2,1.0
1.503,2024/06/13 11:30:12.0229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.192,0.256,1.0,10.0,1.0,10.0,1.0,3.2,1.0
1.513,2024/06/13 11:30:12.0329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.192,0.256,1.0,10.0,1.0,10.0,1.0,3.2,1.0
1.533,2024/06/13 11:30:12.0529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.191,0.255,1.0,10.0,1.0,10.0,1.0,3.21,1.0
1.543,2024/06/13 11:30:12.0629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.191,0.255,1.0,10.0,1.0,10.0,1.0,3.21,1.0
1.563,2024/06/13 11:30:12.0829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.188,0.256,1.0,10.0,1.0,10.0,1.0,3.18,1.0
1.573,2024/06/13 11:30:12.0929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.189,0.255,1.0,10.0,1.0,10.0,1.0,3.2,1.0
1.593,2024/06/13 11:30:12.1129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.947,-0.193,0.257,1.0,10.0,1.0,10.0,1.0,3.17,1.0
1.613,2024/06/13 11:30:12.1329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.947,-0.194,0.257,1.0,10.0,1.0,10.0,1.0,3.19,1.0
1.623,2024/06/13 11:30:12.1429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.947,-0.196,0.254,1.0,10.0,1.0,10.0,1.0,3.19,1.0
1.643,2024/06/13 11:30:12.1629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.947,-0.198,0.252,1.0,10.0,1.0,10.0,1.0,3.17,1.0
1.653,2024/06/13 11:30:12.1729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.947,-0.2,0.252,1.0,10.0,1.0,10.0,1.0,3.18,1.0
1.673,2024/06/13 11:30:12.1929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.2,0.248,1.0,10.0,1.0,10.0,1.0,3.17,1.0
1.683,2024/06/13 11:30:12.2029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.201,0.247,1.0,10.0,1.0,10.0,1.0,3.18,1.0
1.703,2024/06/13 11:30:12.2229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.949,-0.198,0.245,1.0,10.0,1.0,10.0,1.0,3.16,1.0
1.713,2024/06/13 11:30:12.2329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.949,-0.198,0.245,1.0,10.0,1.0,10.0,1.0,3.16,1.0
1.733,2024/06/13 11:30:12.2529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.949,-0.196,0.248,1.0,10.0,1.0,10.0,1.0,3.16,1.0
1.743,2024/06/13 11:30:12.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.949,-0.195,0.249,1.0,10.0,1.0,10.0,1.0,3.17,1.0
1.763,2024/06/13 11:30:12.2829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.948,-0.195,0.251,1.0,10.0,1.0,10.0,1.0,3.18,1.0
1.783,2024/06/13 11:30:12.3029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.949,-0.195,0.249,1.0,10.0,1.0,10.0,1.0,3.16,1.0
1.793,2024/06/13 11:30:12.3129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.955,-0.19,0.23,1.0,10.0,1.0,10.0,1.0,3.18,1.0
1.813,2024/06/13 11:30:12.3329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.96,-0.184,0.209,1.0,10.0,1.0,10.0,1.0,3.15,1.0
1.823,2024/06/13 11:30:12.3429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.964,-0.186,0.191,1.0,10.0,1.0,10.0,1.0,3.16,1.0
1.843,2024/06/13 11:30:12.3629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.963,-0.193,0.186,1.0,10.0,1.0,10.0,1.0,3.16,1.0
1.853,2024/06/13 11:30:12.3729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.963,-0.197,0.186,1.0,10.0,1.0,10.0,1.0,3.17,1.0
1.872,2024/06/13 11:30:12.3919,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.963,-0.198,0.185,1.0,10.0,1.0,10.0,1.0,3.18,1.0
1.892,2024/06/13 11:30:12.4119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.963,-0.198,0.182,1.0,10.0,1.0,9.93,1.0,3.19,1.0
1.902,2024/06/13 11:30:12.4219,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.963,-0.197,0.181,1.0,10.0,1.0,10.0,1.0,3.19,1.0
1.922,2024/06/13 11:30:12.4419,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.964,-0.194,0.18,1.0,10.0,1.0,10.0,1.0,3.18,1.0
1.932,2024/06/13 11:30:12.4519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.966,-0.194,0.172,1.0,10.0,1.0,10.0,1.0,3.19,1.0
1.952,2024/06/13 11:30:12.4719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.966,-0.194,0.171,1.0,10.0,1.0,10.0,1.0,3.2,1.0
